rank,repo,tier,selection_score,linked_elf,dwarf_elf,ii,dwarf_subprogram_sample,revision,build_system,reason
29,Neargye/magic_enum,A,3387,29,29,29,2372,adf50a7880514138442b6ab4f31e783f42d3243a,cmake,oracle-ready: ELF + DWARF + .ii
30,gperftools/gperftools,A,3348,10,10,96,2568,0cc73303a93b27f46df9b93ee676937514e447ad,cmake,oracle-ready: ELF + DWARF + .ii
31,google/highway,A,2986,18,18,60,2146,993f67ca6d5e1d9d653f44976bf09afaf522afc5,cmake,oracle-ready: ELF + DWARF + .ii
32,ShiqiYu/libfacedetection,A,2859,3,3,3,2754,acf7b254121927e7dced30e233a2e03119f28ea2,cmake,oracle-ready: ELF + DWARF + .ii
33,doctest/doctest,A,2846,40,40,151,1191,d44d4f6e66232d716af82f00a063759e9d0e50d6,cmake,oracle-ready: ELF + DWARF + .ii
34,fmtlib/fmt,A,2208,25,25,51,1203,5fc5c910c03b82cd92c29feb623b9112063138bf,cmake,oracle-ready: ELF + DWARF + .ii
35,abseil/abseil-cpp,A,1716,93,93,158,26,15ea57c38713eff81d29d2d780b6a56f241a16a0,cmake,oracle-ready: ELF + DWARF + .ii
36,react/yoga,A,1584,7,7,95,899,f42d532527974a4504e644f6836946ad108d4133,cmake,oracle-ready: ELF + DWARF + .ii
37,zeromq/libzmq,A,1318,9,9,121,443,46493370217ac135246617fa2f6ac819d8b61bfc,cmake,oracle-ready: ELF + DWARF + .ii
38,leethomason/tinyxml2,A,1281,1,1,1,1246,8224e427b655b83dae5e2298f1e6919523a78737,cmake,oracle-ready: ELF + DWARF + .ii
39,ggml-org/ggml,A,1197,41,41,54,27,456172ec733a135778adcd32d00e576a58232e45,cmake,oracle-ready: ELF + DWARF + .ii
40,ggml-org/whisper.cpp,A,1075,25,25,44,105,da54572229bcf64ba367d96c7ef15770376c4280,cmake,oracle-ready: ELF + DWARF + .ii
41,dmlc/xgboost,A,704,2,2,128,4,3a48eba84d72de5f6f8933a2521a07e818958a97,cmake,oracle-ready: ELF + DWARF + .ii
42,libcpr/cpr,A,658,17,17,29,3,9adb78f725a8979f3d934b52fc612e4ce7d10cb9,cmake,oracle-ready: ELF + DWARF + .ii
43,lightgbm-org/LightGBM,A,249,2,2,37,4,6d386edf77a363750669ba622b133ca4e794e353,cmake,oracle-ready: ELF + DWARF + .ii
44,wolfpld/tracy,A,200,1,1,1,165,dd29819f3d3e668983d974507038c08dba06479c,cmake,oracle-ready: ELF + DWARF + .ii
45,linyacool/WebServer,B,5120,4,4,0,7504,7e18602f15c5c64e006091aa03e04b927c255983,cmake,build+DWARF ready; regenerate .ii from compile commands
46,async-profiler/async-profiler,B,5030,2,1,0,15703,1bf8685707c8b9349e4f5bf572afcf63fbe61b3d,make,build+DWARF ready; regenerate .ii from compile commands
47,chenshuo/muduo,B,2063,119,119,0,1163,f1fc77e0c13b80e5086ff457362c8a86d1b609d4,cmake,build+DWARF ready; regenerate .ii from compile commands
48,tiny-dnn/tiny-dnn,B,64,2,2,0,4,c0f576f5cb7b35893f62127cb7aec18f77a3bcc5,cmake,build+DWARF ready; regenerate .ii from compile commands
